state_id,total_rank_state,health_care_rank_state,education_rank_state,economy_rank_state,infrastructure_rank_state,opportunity_rank_state,fiscal_stability_rank_state,crime_rank_state,natural_environment_rank_state,population_state,families_mean_Income_state,families_median_Income_state,best_education_adult_literacy_rate_state,best_education_mean_sat_math_score_state,best_education_residents_wcollege_degree_state,crime_rate_state,crime_violent_rate_state,political_parties_democrat_leandem_state,political_parties_republican+leanrep_state,political_parties_nolean_state,average_temp_cels_state,avg_annual_snowfall_state,avg_annual_sunlight_state,mean_annual_precipitation_state,numof_exreme_weather_events_state
TX,35,32,35,8,13,47,16,36,40,30503301,102456,76073,81.0,498,30.69,4936.535,446.46,40,39,21,18.2,1.36,5137.0,28.87,48
IL,36,28,12,39,19,35,50,12,38,12549689,113734,86251,87.1,498,35.52,3544.667,425.914,48,33,19,11.0,21.75,4380.0,39.32,30
AZ,37,24,45,5,17,39,34,38,43,7431344,97003,73456,86.9,589,30.31,4940.118,484.814,39,40,21,15.7,4.76,5755.0,13.61,12
NV,38,31,38,30,8,34,31,27,48,3194176,96532,74077,83.9,598,25.46,4313.506,460.287,46,37,18,9.9,18.83,5296.0,9.54,10
KY,39,46,32,43,23,13,45,13,22,4526154,85749,65893,87.8,603,25.02,3818.102,259.088,43,44,13,13.1,8.83,4383.0,48.98,22
PA,40,10,36,38,46,17,47,29,35,12961683,105058,80996,87.4,557,32.33,3677.679,389.517,46,39,15,9.3,35.84,3939.0,43.02,23
MI,41,20,37,36,43,21,37,35,36,10037261,97175,75470,91.7,508,29.99,3199.772,478.009,47,34,19,6.9,60.66,4018.0,32.84,12
SC,42,36,42,28,31,38,18,46,19,5373555,90694,68813,85.3,507,28.99,5972.837,530.678,39,43,18,16.9,1.5,4624.0,49.84,18
OK,43,48,48,34,22,24,23,43,37,4053824,88048,67511,87.7,507,26.15,5869.825,458.578,40,45,15,15.3,5.88,4912.0,36.55,35
AL,44,44,44,33,36,32,20,40,47,5108468,86610,66772,85.2,568,26.23,4727.065,453.558,35,52,13,17.1,0.57,4660.0,58.28,23
AR,45,47,43,35,40,29,19,49,34,3067732,82767,62067,86.3,584,23.82,5898.753,671.93,38,46,16,15.8,4.04,4724.0,50.78,23
WV,46,50,47,47,50,18,32,18,41,1770071,78106,61707,86.6,487,21.3,3154.662,355.897,41,43,16,11.0,25.13,4146.0,45.3,7
NM,47,38,50,44,44,41,15,47,32,2114371,82405,62611,83.5,488,28.14,6462.032,778.277,48,37,15,11.9,22.74,5642.0,14.63,13
MS,48,49,41,49,47,36,40,34,16,2939690,77072,58923,84.0,589,22.75,4494.426,291.157,42,44,14,17.4,0.71,4693.0,59.23,20
AK,49,37,49,46,45,33,33,48,44,733406,112443,92648,90.8,553,29.99,5358.896,837.849,32,39,29,-3.0,64.46,,22.7,3
LA,50,45,46,50,49,48,38,50,49,4573749,88371,65427,84.0,583,24.86,6408.216,639.44,43,41,16,19.1,0.2,4725.0,60.09,16
